subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,16.81,16.81,16.81,16.81,16.81,33.61,37.82,43.70,47.90,45.38,27.73,33.61,42.02,46.22,49.58,26.05,37.82,41.18,38.66,29.41,42.02
sub-02,31.93,31.93,31.93,31.93,31.93,44.54,46.22,48.74,52.94,53.78,41.18,53.78,47.90,46.22,46.22,32.77,36.97,38.66,32.77,35.29,53.78
sub-03,23.53,23.53,23.53,23.53,23.53,38.66,45.38,46.22,43.70,52.94,36.13,37.82,43.70,39.50,47.06,23.53,26.89,27.73,28.57,36.13,52.94
sub-04,42.86,42.86,42.86,42.86,42.86,43.70,42.02,47.06,43.70,49.58,41.18,37.82,43.70,41.18,52.10,31.93,31.93,39.50,39.50,44.54,41.18
sub-05,36.13,36.13,36.13,36.13,36.13,24.37,38.66,38.66,43.70,44.54,29.41,30.25,46.22,47.90,49.58,42.02,40.34,36.97,34.45,30.25,52.10
sub-06,37.82,37.82,37.82,37.82,37.82,52.94,57.98,68.07,63.03,64.71,52.10,52.94,60.50,63.87,65.55,46.22,47.06,39.50,42.02,35.29,66.39
sub-07,33.61,33.61,33.61,33.61,33.61,36.13,41.18,42.86,41.18,44.54,23.53,33.61,35.29,38.66,42.86,33.61,26.89,31.93,34.45,33.61,47.06
sub-08,38.66,38.66,38.66,38.66,38.66,39.50,43.70,44.54,41.18,46.22,35.29,36.13,43.70,42.86,46.22,36.97,40.34,43.70,40.34,47.90,47.06
sub-09,38.66,38.66,38.66,38.66,38.66,51.26,50.42,55.46,54.62,59.66,52.10,56.30,58.82,61.34,57.98,55.46,50.42,48.74,50.42,54.62,52.10
sub-10,50.42,50.42,50.42,50.42,50.42,68.91,68.91,71.43,66.39,69.75,59.66,66.39,70.59,68.91,74.79,50.42,58.82,63.87,66.39,55.46,68.91
sub-11,44.54,44.54,44.54,44.54,44.54,47.90,53.78,52.94,53.78,59.66,50.42,47.06,52.10,55.46,53.78,49.58,52.94,48.74,52.94,57.14,54.62
sub-12,43.70,43.70,43.70,43.70,43.70,51.26,53.78,52.10,57.14,56.30,43.70,45.38,52.94,52.10,54.62,46.22,46.22,54.62,52.10,56.30,56.30
sub-13,21.01,21.01,21.01,21.01,21.01,49.58,46.22,52.94,52.10,51.26,39.50,47.90,48.74,54.62,52.94,42.02,39.50,47.06,42.02,39.50,47.90
sub-14,36.13,36.13,36.13,36.13,36.13,36.13,38.66,40.34,46.22,52.10,29.41,37.82,35.29,37.82,42.86,30.25,35.29,41.18,39.50,41.18,45.38
sub-15,22.69,22.69,22.69,22.69,22.69,36.97,36.13,43.70,36.13,42.02,30.25,29.41,36.97,36.13,39.50,31.93,32.77,34.45,31.93,24.37,40.34
sub-16,22.69,22.69,22.69,22.69,22.69,43.70,41.18,47.06,48.74,56.30,41.18,40.34,48.74,51.26,51.26,30.25,32.77,29.41,36.97,30.25,51.26
sub-17,26.89,26.89,26.89,26.89,26.89,26.89,28.57,29.41,32.77,31.93,34.45,33.61,28.57,27.73,34.45,18.49,26.05,27.73,30.25,34.45,32.77
sub-18,34.45,34.45,34.45,34.45,34.45,57.98,58.82,56.30,55.46,62.18,44.54,42.86,54.62,57.14,62.18,26.89,37.82,31.93,33.61,27.73,59.66
sub-19,44.54,44.54,44.54,44.54,44.54,66.39,71.43,67.23,72.27,70.59,62.18,69.75,68.91,68.07,69.75,50.42,55.46,55.46,57.98,52.94,65.55
sub-20,36.13,36.13,36.13,36.13,36.13,38.66,44.54,47.90,42.02,48.74,32.77,37.82,42.02,47.90,52.94,26.89,31.93,46.22,44.54,37.82,49.58
sub-21,36.13,36.13,36.13,36.13,36.13,38.66,42.86,47.06,47.06,48.74,42.02,39.50,43.70,47.90,52.10,35.29,36.13,41.18,36.97,47.90,47.90
sub-22,35.29,35.29,35.29,35.29,35.29,62.18,52.10,55.46,62.18,72.27,48.74,51.26,54.62,52.10,58.82,31.09,35.29,42.86,46.22,47.90,67.23
sub-23,46.22,46.22,46.22,46.22,46.22,47.06,56.30,43.70,47.90,59.66,42.02,47.06,52.10,52.94,59.66,43.70,47.06,55.46,57.98,45.38,61.34
sub-24,52.94,52.94,52.94,52.94,52.94,48.74,50.42,47.90,49.58,45.38,43.70,42.02,52.10,49.58,51.26,52.10,47.06,45.38,53.78,49.58,51.26
sub-25,29.41,29.41,29.41,29.41,29.41,44.54,42.02,49.58,48.74,55.46,37.82,42.02,46.22,50.42,50.42,32.77,43.70,45.38,41.18,34.45,53.78
